order_status,product_category_name_english,revenue
invoiced,industry_commerce_and_business,58.41999999999999
invoiced,kitchen_dining_laundry_garden_furniture,25.64999999999999
invoiced,luggage_accessories,185.65999999999994
invoiced,market_place,88.87000000000008
invoiced,musical_instruments,3904.388000000001
invoiced,office_furniture,3872.3689999999997
invoiced,perfumery,199.1340000000001
invoiced,pet_shop,234.05
invoiced,small_appliances,53.870000000000005
invoiced,sports_leisure,4591.336
invoiced,stationery,620.9300000000001
invoiced,telephony,1565.4109999999996
invoiced,toys,530.6589999999999
invoiced,watches_gifts,319.16199999999986
processing,art,4291.7
processing,auto,1543.4690000000003
processing,baby,-768.7620000000011
processing,bed_bath_table,183.223
processing,books_general_interest,104.103
processing,books_imported,36.56999999999999
processing,books_technical,75.52999999999997
processing,christmas_supplies,34.733
processing,computers_accessories,677.3169999999999
processing,consoles_games,1096.0900000000001
processing,construction_tools_construction,2018.7600000000004
processing,construction_tools_safety,105.25
processing,cool_stuff,4736.845
processing,electronics,78.63900000000001
processing,fashio_female_clothing,25.919999999999987
processing,fashion_bags_accessories,687.8420000000001
processing,fashion_childrens_clothes,38.61999999999999
processing,fashion_male_clothing,81.35000000000002
processing,fashion_shoes,32.91
processing,fashion_sport,34.733
processing,fixed_telephony,23786.6
processing,food,179.57
processing,food_drink,15.000000000000004
processing,furniture_bedroom,227.65000000000003
processing,furniture_decor,21144.175999999996
processing,furniture_living_room,61.45999999999998
processing,garden_tools,621.8299999999998
processing,health_beauty,700.5730000000001
processing,housewares,4229.351
processing,kitchen_dining_laundry_garden_furniture,46.663
processing,luggage_accessories,90.82299999999995
processing,market_place,36.92
processing,musical_instruments,4968.769
processing,office_furniture,3503.69
processing,perfumery,575.8500000000001
processing,pet_shop,201.01999999999998
processing,signaling_and_security,42.670000000000016
processing,small_appliances,678.3340000000004
processing,small_appliances_home_oven_and_coffee,29.78200000000001
processing,sports_leisure,3037.659
processing,stationery,439.41900000000015
processing,telephony,1112.0679999999998
processing,toys,1678.0620000000001
processing,watches_gifts,1524.4560000000006
shipped,agro_industry_and_commerce,2588.139
shipped,air_conditioning,1304.98
shipped,art,153.128
shipped,audio,41.26000000000002
shipped,auto,2586.783999999999
shipped,baby,2673.6780000000003
shipped,bed_bath_table,9821.884000000002
shipped,books_general_interest,197.145
shipped,books_technical,118.181
shipped,cine_photo,47.379999999999995
shipped,computers,315.7000000000003
shipped,computers_accessories,6860.88
shipped,consoles_games,170.24700000000004
shipped,construction_tools_construction,251.68
shipped,construction_tools_lights,43.78999999999999
shipped,cool_stuff,4851.758000000001
shipped,costruction_tools_garden,58.539999999999964
shipped,diapers_and_hygiene,39.239999999999995
shipped,drinks,2813.4400000000005
shipped,dvds_blu_ray,40.550000000000004
shipped,electronics,1310.1950000000004
shipped,fashio_female_clothing,34.8
shipped,fashion_bags_accessories,858.4479999999999
shipped,fashion_male_clothing,194.76
shipped,fashion_shoes,156.064
shipped,fashion_underwear_beach,121.15999999999997
shipped,fixed_telephony,32.45
shipped,food,759.3019999999999
shipped,food_drink,73.16
shipped,furniture_bedroom,260.83000000000004
shipped,furniture_decor,10001.584
shipped,furniture_living_room,281.776
shipped,furniture_mattress_and_upholstery,112.91
shipped,garden_tools,-21410.160000000007
shipped,health_beauty,15576.735999999999
shipped,home_appliances,450.3419999999999
shipped,home_appliances_2,347.7729999999999
shipped,home_confort,164.35299999999998
shipped,home_construction,589.925
shipped,housewares,4038.1730000000002
shipped,industry_commerce_and_business,641.1299999999998
shipped,kitchen_dining_laundry_garden_furniture,604.81
shipped,luggage_accessories,450.82199999999995
shipped,market_place,-108.42000000000002
shipped,musical_instruments,241.63299999999995
shipped,office_furniture,1195.094
shipped,party_supplies,17.893
shipped,perfumery,947.9979999999997
shipped,pet_shop,696.013
shipped,signaling_and_security,26.976
shipped,small_appliances,348.5439999999999
shipped,small_appliances_home_oven_and_coffee,180.71300000000002
shipped,sports_leisure,8259.824000000002
shipped,stationery,2093.136
shipped,telephony,3367.6370000000006
shipped,toys,1092.4609999999998
shipped,watches_gifts,1539.2929999999988
unavailable,auto,25.209999999999994
unavailable,baby,518.403
unavailable,cool_stuff,58.25999999999999
unavailable,electronics,66.19000000000005
unavailable,perfumery,79.42000000000007
